FILENAME,FRAME,TIME (HMS),LENGTH (MM),PRECISION (MM),RMS (MM),RANGE (MM),DIRECTION (DEG),HORZ_DIR (DEG),VERT_DIR (DEG),MID_X (MM),MID_Y (MM),MID_Z (MM),OPCODE,TAPEREADER,DEPTH,COMMENT,YEAR,DIVE,DIVE_NO,TRANSECT_NUMBER,FAMILY,GENUS,SPECIES,CODE,NUMBER,STAGE,ACTIVITY,CHECK_ID,COMMENT
SL_2018CSEO_Dive_10_10-11-03.000.avi,64034,46:39.4,,59.745,0.243,5573.003,13.382,,,-578.217,1125.657,-5427.423,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,44,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,6743,36:42.8,,27.368,0.559,3820.671,29.101,,,-1837.817,257.537,-3339.705,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,greenstripe,135,135,1,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,8454,37:39.8,,21.527,0.346,3425.065,10.306,,,-604.553,83.008,-3370.266,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,tiger,148,148,2,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,12935,40:09.2,,54.686,5.377,5135.716,24.751,,,-1904.979,973.761,-4668.878,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,3,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,14569,41:03.6,,35.063,4.58,4092.598,25.311,,,1581.23,730.553,-3703.426,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,quillback,147,147,4,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,22091,45:14.3,,24.084,3.722,3386.515,21.114,,,1037.548,625.715,-3162.35,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,5,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,26053,47:26.4,,46.014,2.634,4656.534,28.07,,,1718.247,1338.956,-4115.596,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,6,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,28336,48:42.5,,80.825,0.008,6219.607,24.916,,,-1328.23,2230.199,-5652.038,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,quillback,147,147,7,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,28452,48:46.4,,21.042,1.389,3224.064,25.01,,,-1294.704,411.496,-2923.867,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,8,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,29307,49:14.9,,18.107,0.918,3141.594,9.535,,,-175.374,474.346,-3100.621,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,9,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,30037,49:39.2,,25.087,0.677,3524.233,16.775,,,-865.217,517.72,-3376.919,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,10,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,34537,52:09.2,,28.932,4.8,3822.038,15.319,,,-896.006,446.979,-3688.544,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,11,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,37514,53:48.4,,49.187,4.814,4941.799,24.723,,,2033.779,-390.602,-4486.931,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,12,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,44144,57:29.4,,39.439,5.561,4426.528,24.748,,,1810.121,376.514,-4021.921,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,13,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,45956,58:29.8,,40.348,0.53,4645.443,13.203,,,197.548,1019.681,-4527.843,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,14,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,46381,58:44.0,,39.272,2.059,4297.392,24.7,,,1483.919,991.631,-3909.249,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,15,,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,49542,00:29.4,,18.462,3.052,3174.937,9.191,,,92.695,-514.329,-3131.628,1,KelliiWood,100,N/A,2018,CSEO_11,11,104,rockfish,rosethorn,150,150,16,,,,
