Filename,Frame,AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_33_16-37-42.838.avi,51390,17:06:28,1:06:28,,,,26.276,4.91,3620.604,25.205,,,-1484.448,-423.193,-3275.071,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,71,,,,,
SL_FW_Dive_33_16-37-42.838.avi,51852,17:06:43,1:06:43,,,,34.3,10.61,4294.598,11.727,,,-262.986,824.17,-4206.56,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,72,,,,,
SL_FW_Dive_33_16-37-42.838.avi,51853,17:06:43,1:06:43,,,,47.119,4.283,4882.075,14.961,,,-799.628,965.105,-4718.456,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,73,,,,,
SL_FW_Dive_33_16-37-42.838.avi,52665,17:07:10,1:07:11,,,,49.046,3.728,5104.157,11.853,,,423.501,949.448,-4997.16,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,74,,,,no length,
SL_FW_Dive_33_16-37-42.838.avi,52893,17:07:18,1:07:18,,,,38.808,0.741,4374.157,29.362,,,2047.218,632.065,-3813.482,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,tiger,148,148,75,,,,,
SL_FW_Dive_33_16-37-42.838.avi,54142,17:08:00,1:08:00,,,,39.865,5.904,4443.361,30.403,,,2128.756,717.136,-3833.742,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,76,,,,,
SL_FW_Dive_33_16-37-42.838.avi,54754,17:08:20,1:08:20,,,,35.178,2.945,4436.584,7.372,,,332.317,453.708,-4400.794,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,77,,,,,
SL_FW_Dive_33_16-37-42.838.avi,55370,17:08:41,1:08:41,,,,43.313,6.769,4720.834,22.242,,,-1776.959,-196.718,-4369.21,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,78,,,,,
SL_FW_Dive_33_16-37-42.838.avi,55424,17:08:42,1:08:42,,,,36.272,3.664,4340.844,19.867,,,-1472.604,-94.893,-4082.322,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,79,,,,,
SL_FW_Dive_33_16-37-42.838.avi,55718,17:08:52,1:08:52,,,,21.091,2.889,3435.472,7.122,,,-197.711,-383.85,-3408.231,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,80,,,,,
