Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2019_EYKT_Dive_20_09-30-58.000.avi,61890,10:05:22,36322,,,595,848,QC,EricaEbert,80,N/A,2019,20,22,Line,,,,,Good,resting on bottom with close-up image,GRBC,GRBC,1,AD,Passing,,,
SL_2019_EYKT_Dive_20_09-30-58.000.avi,62248,10:05:34,36334,,,593,843,QC,EricaEbert,80,N/A,2019,20,22,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_20_09-30-58.000.avi,64823,10:07:00,36420,,,593,846,QC,EricaEbert,80,N/A,2019,20,22,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_21_10-52-22.000.avi,205,10:52:47,39167,,,613,869,QC,EricaEbert,105,N/A,2019,21,25,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_21_10-52-22.000.avi,46947,11:18:45,40725,,,608,856,QC,EricaEbert,105,N/A,2019,21,25,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_21_10-52-22.000.avi,47669,11:19:09,40749,,,607,865,QC,EricaEbert,105,N/A,2019,21,25,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_21_10-52-22.000.avi,55533,11:23:31,41011,,,601,858,QC,EricaEbert,105,N/A,2019,21,25,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,104,12:01:27,43287,,,637,893,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,21112,12:13:08,43988,,,604,860,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,21354,12:13:16,43996,,,596,848,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,34916,12:20:48,44448,,,590,839,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,35830,12:21:18,44478,,,588,846,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,37696,12:22:21,44541,,,604,861,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,37870,12:22:26,44546,,,592,848,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,47017,12:27:31,44851,,,601,852,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,47326,12:27:41,44861,,,587,838,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,55833,12:32:25,45145,,,580,848,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,56136,12:32:35,45155,,,583,846,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_22_12-01-20.000.avi,57343,12:33:15,45195,,,567,812,QC,EricaEbert,115,N/A,2019,22,26,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
