Dive_Id,Date,Time_AKDT,TC (UTC),UTC time,,Start_End,Comments,YE cnt,Jenny comments
,,18:34:49,02:34:49:20,02:34:49,,,jye,,
,,18:35:18,02:35:18:21,02:35:18,,,jye,,
,,18:37:38,02:37:38:20,02:37:38,,,jye,,
,,18:38:10,02:38:10:04,02:38:10,,,ye,1,
,,18:40:00,02:40:00:25,02:40:00,,,tiger,,
,,18:47:25,02:47:25:03,02:47:25,,,"lc, ye",1,
,,18:49:59,02:49:59:13,02:49:59,,,jye,,
,,18:51:08,02:51:08:14,02:51:08,,,ye,1,
,,18:53:32,02:53:32:12,02:53:32,,,ye,1,
,,18:53:55,02:53:55:28,02:53:55,,,"ye (repeat?), jye",1,
,,18:55:10,02:55:10:04,02:55:10,,,ye,1,
,,18:55:44,02:55:44:09,02:55:44,,,ye,1,
,,18:56:38,02:56:38:21,02:56:38,,,jye,,
,,18:57:39,02:57:39:16,02:57:39,,,ye feeding,1,
,,18:58:42,02:58:42:23,02:58:42,,,ye,1,
,,18:59:19,02:59:19:09,02:59:19,,,lc,,
,,19:00:21,03:00:21:24,03:00:21,,,ye (belly),1,
,,19:01:40,03:01:40:21,03:01:40,,,ye,1,
,,19:03:31,03:03:31:16,03:03:31,,,ye from behind ,1,"only in belly, 10:03:27, 2ft, slowly moving into frame, adult"
,,19:06:24,03:06:24:14,03:06:24,,,ye,1,
,,19:06:42,03:06:42:21,03:06:42,,,ye,1,
,,19:08:25,03:08:25:12,03:08:25,,,ye,1,
,,19:08:39,03:08:39:28,03:08:39,,E,,,
,,,,,,,,,
eykt_23,5/15/2017,20:02:39,04:02:39:20,04:02:39,,S,,,
,,20:02:57,04:02:57:07,04:02:57,,,lc,,
,,20:06:36,04:06:36:09,04:06:36,,,ye,1,
,,20:14:29,04:14:29:08,04:14:29,,,ye,1,
,,20:18:56,04:18:56:01,04:18:56,,,lc,,
,,20:21:10,04:21:10:12,04:21:10,,,lc,,
,,20:27:40,04:27:40:12,04:27:40,,,ye,1,
,,20:32:08,04:32:08:26,04:32:08,,,ye,1,
,,20:37:17,04:37:17:06,04:37:17,,,ye,1,
,,20:42:24,04:42:24:02,04:42:24,,,burrow,,
,,20:42:50,04:42:50:29,04:42:50,,,lc,,
,,20:43:03,04:43:03:17,04:43:03,,,interesting lava mounds,,
,,20:45:04,04:45:04:04,04:45:04,,,red tree coral ,,
,,20:45:25,04:45:25:11,04:45:25,,,"ye, jye ",1,
,,20:46:05,04:46:05:21,04:46:05,,E,,,
,,,,,,,,,
eykt_24,5/16/2017,5:18:22,13:18:22:10,13:18:22,,S,,,
,,5:18:53,13:18:53:04,13:18:53,,,red tree coral ,,
